Modelo,Avantier EX,Avantier EX Extra full,Bestune Xiaoma,Baw Pony,Wuling Mini EV Macaron,Baw L7 EV,Changan Lumin,JMC JMEV 2,Wuling Mini EV,Baw E7 EV Pro,Kaiyi e-Qute 04 28kw,Kaiyi e-Qute 04 39kw,JMC JMEV 3,Cherry eQ1,Dongfeng Nano Box,JAC E-S1,Nammi 330,Wuling Binguo,BYD Seagull EV300,Changan e-star,Leapmotor T03,Nammi 330 EU,Renault Kwid E-Tech,Geely EX2 Pro,BYD Seagull EV380,JAC Ytterby,Wuling Bingo S,GAC Aion UT,Geely Geometry E,Geely EX2 Max,Arcfox T1,Nammi 430 EU,GWM Ora 03 Skin 400,Bestune Joy 03 Luxury,Bestune NAT,BYD Seagull Surf,GWM Ora 03 Skin 400 Bitono,GWM Ora 03 Skin 480,Hozon U Pro 400,Chevrolet Spark EUV,GAC Aion Y Plus,GWM Ora 03 Skin 480 Bitono,GWM Ora 5 Middle,Arcfox T1 Extra Full,BYD New E2 Dolphin GS,BYD New E2 X GS,Dongfeng VIGO E2,GAC Aion UT MAX,Bestune Joy 03 Exclusive,BAIC EU5,Forthing T5 Friday,GAC Aion ES,GWM Ora 5 High,MG S5 EV Comfort Standard Range,Omoda E5 Comfort Standard Range,BYD New E2 Dolphin Plus GSI,BYD Yuan Pro GS,Dongfeng Mage EV,Dongfeng VIGO E2+,GAC Aion V Plus,GWM Ora 03 SR 480,Omoda E5 Comfort (discontinuada),Omoda E5 Luxury Standard Range,JAC E-S4,JMC JMEV GSE,MG S5 EV Luxury Standard Range,Opel E-Mokka,BYD Yuan Pro GSI,Geely Ex5 Pro,GWM Ora 03 GT 480,Leapmotor B10 Life,MG Zs Ev Comfort,GAC Aion V Max,Jaecoo 5 EV,MG MG4 0.0 Standard 2Wd,Omoda E5 Luxury,JAC E-j7,Chevrolet Captiva EV Premier,Geely Geometry C GF+,Leapmotor B10 Design,MG S5 EV Luxury Long Range,Omoda E5 Luxury (discontinuada),Bestune Joy 03 Premium,Forthing S7,MG Zs Ev Deluxe,Smart #1 Pure RWD,Volkswagen Id3 Pure,Chery Eq7,Geely Ex5 Max,Leapmotor C10,MG MG4 0.0 Deluxe ER 2WD,Arcfox αS5 Air,Hyundai Ioniq 5 Safe LR RWD,Peugeot E-3008 GT AWD,Chevrolet Equinox EV eAWD,Hyundai Ioniq 5 Limited LR RWD,BMW iX3 xDrive Luxury,BMW iX3 xDrive M Sport,BMW iX3 xDrive M Sport Pro,Tesla Model 3 Standard Range,Tesla Model 3 Long Range,Tesla Model 3 Performance,Tesla Model Y Standard Range,Tesla Model Y Long Range,
MEDIDAS Y PESO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segmento,M1,M1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,B,A,B,C-SUV,C,B,B,C-SUV,B,C,C,MPV,A,C,C,C,A,C,C,C-SUV,C-SUV,B,C,B-SUV,C,C,C,C,C,C-SUV,C-SUV,C-SUV,B,B-SUV,C,B-SUV,C-SUV,C,C-SUV,C-SUV,C,C,C-SUV,B-SUV,B-SUV,C-SUV,C,C-SUV,B-SUV,C-SUV,B-SUV,C,C-SUV,C,C-SUV,C,C-SUV,C-SUV,C-SUV,C,E,B-SUV,B-SUV,C,C-SUV,C-SUV,C-SUV,C,D,D,C-SUV,C-SUV,D,D-SUV,D-SUV,D-SUV,D-SEDAN,D-SEDAN,D-SEDAN,D-SUV,D-SUV,
Ancho (metros),1.49 m,1.49 m,1.51 m,1.49 m,1.49 m,1.58 m,1.7 m,1.64 m,1.51 m,1.58 m,1.68 m,1.68 m,1.64 m,1.67 m,1.51 m,1.67 m,1.81 m,1.7 m,1.71 m,1.65 m,1.65 m,1.81 m,1.77 m,1.8 m,1.71 m,1.77 m,1.78 m,1.85 m,1.76 m,1.8 m,1.86 m,1.81 m,1.82 m,1.86 m,1.84 m,1.72 m,1.82 m,1.82 m,1.86 m,1.76 m,1.87 m,1.82 m,1.832 m,1.86 m,1.77 m,1.77 m,1.86 m,1.85 m,1.86 m,1.82 m,1.86 m,1.88 m,1.83 m,1.84 m,1.83 m,1.77 m,1.83 m,1.9 m,1.86 m,1.854 m,1.82 m,1.84 m,1.83 m,1.8 m,1.83 m,1.84 m,1.79 m,1.83 m,1.9 m,1.82 m,1.88 m,1.8 m,1.85 m,1.86 m,1.83 m,1.83 m,1.82 m,1.89 m,1.83 m,1.88 m,1.84 m,1.84 m,1.86 m,1.91 m,1.8 m,1.82 m,1.77 m,1.91 m,1.9 m,1.9 m,1.83 m,1.94 m,1.89 m,1.93 m,1.87 m,1.89 m,1.89 m,1.89 m,1.89 m,1.85,1.93 m,1.93 m,1.98 m,1.98 m,
Largo  (metros),3.03 m,3.03 m,3 m,3.15 m,3.06 m,3.47 m,3.27 m,3.5 m,3.25 m,3.47 m,3.69 m,3.69 m,3.72 m,3.2 m,3.73 m,3.65 m,4 m,3.95 m,3.78 m,3.77 m,3.62 m,4 m,3.73 m,4.13 m,3.78 m,4 m,4.26 m,4.27 m,4 m,4.13 m,4.33 m,4 m,4.23 m,4.45 m,4.45 m,3.99 m,4.23 m,4.23 m,4.53 m,3.99 m,4.53 m,4.23 m,4.471 m,4.33 m,4.12 m,4.28 m,4.3 m,4.27 m,4.45 m,4.65 m,4.57 m,4.81 m,4.47 m,4.47 m,4.54 m,4.12 m,4.31 m,4.67 m,4.3 m,4.605 m,4.23 m,4.4 m,4.54 m,4.41 m,4.67 m,4.47 m,4.15 m,4.31 m,4.61 m,4.23 m,4.51 m,4.32 m,4.6 m,4.38 m,4.28 m,4.54 m,4.77 m,4.74 m,4.43 m,4.51 m,4.47 m,4.4 m,4.45 m,4.93 m,4.32 m,4.27 m,4.26 m,4.67 m,4.61 m,4.74 m,4.28 m,4.93 m,4.65 m,4.54 m,4.84 m,4.65 m,4.78 m,4.78 m,4.78 m,4.72 m,4.72 m,4.72 m,4.79 m,4.79 m,
Alto  (metros),1.64 m,1.64 m,1.63 m,1.58 m,1.61 m,1.57 m,1.54 m,1.45 m,1.57 m,1.57 m,1.61 m,1.61 m,1.48 m,1.59 m,1.57 m,1.54 m,1.57 m,1.58 m,1.58 m,1.57 m,1.57 m,1.57 m,1.5 m,1.57 m,1.58 m,1.56 m,1.6 m,1.57 m,1.57 m,1.57 m,1.57 m,1.57 m,1.6 m,1.63 m,1.68 m,1.59 m,1.6 m,1.6 m,1.62 m,1.72 m,1.54 m,1.6 m,1.641 m,1.57 m,1.57 m,1.57 m,1.65 m,1.57 m,1.63 m,1.51 m,1.68 m,1.54 m,1.64 m,1.62 m,1.58 m,1.57 m,1.67 m,1.61 m,1.65 m,1.686 m,1.6 m,1.58 m,1.58 m,1.66 m,1.48 m,1.62 m,1.52 m,1.67 m,1.67 m,1.6 m,1.65 m,1.64 m,1.68 m,1.65 m,1.51 m,1.58 m,1.51 m,1.68 m,1.56 m,1.65 m,1.62 m,1.58 m,1.63 m,1.49 m,1.64 m,1.63 m,1.56 m,1.66 m,1.67 m,1.68 m,1.51 m,1.599 m,1.6 m,1.64 m,1.64 m,1.6 m,1.63 m,1.63 m,1.63 m,1.44 m,1.44 m,1.43 m,1.62 m,1.62 m,
Distancia entre ejes (metros),1.96 m,1.96 m,1.95 m,2.05 m,2.1 m,2.24 m,1.98 m,2.34 m,2.19 m,2.24 m,2.5 m,2.5 m,2.39 m,2.15 m,2.42 m,2.39 m,2.66 m,2.56 m,2.5 m,2.41 m,2.4 m,2.66 m,2.42 m,2.65 m,2.5 m,2.62 m,2.61 m,2.75 m,2.48 m,2.65 m,2.77 m,2.66 m,2.65 m,2.75 m,2.85 m,2.5 m,2.65 m,2.65 m,2.77 m,2.56 m,2.75 m,2.65 m,2.72 m,2.77 m,2.7 m,2.7 m,2.71 m,2.75 m,2.75 m,2.67 m,2.71 m,2.75 m,2.72 m,2.73 m,2.63 m,2.7 m,2.62 m,2.75 m,2.71 m,2.775 m,2.65 m,2.63 m,2.63 m,2.62 m,2.5 m,2.73 m,2.55 m,2.62 m,2.75 m,2.65 m,2.73 m,2.62 m,2.77 m,2.62 m,2.7 m,2.63 m,2.76 m,2.8 m,2.7 m,2.73 m,2.73 m,2.63 m,2.75 m,2.91 m,2.62 m,2.75 m,2.76 m,2.83 m,2.75 m,2.82 m,2.7 m,2.815 m,3 m,2.739 m,2.95 m,3 m,2.89 m,2.89 m,2.89 m,2.87,2.87 m,2.87 m,2.89 m,2.89 m,
Peso (kg),598 kg,598 kg,715 kg,740 kg,770 kg,830 kg,855 kg,890 kg,780 kg,920 kg,954 kg,954 kg,1030 kg,995 kg,921 kg,1180 kg,1225 kg,1325 kg,1160 kg,1180 kg,1203 kg,1225 kg,977 kg,1300 kg,1160 kg,1365 kg,1325 kg,1540 kg,1348 kg,1300 kg,1420 kg,1324 kg,1540 kg,1530 kg,2075 kg,1370 kg,1540 kg,1670 kg,,1355 kg,1695 kg,1670 kg,1720 kg,1420 kg,1405 kg,1485 kg,1945 kg,1700 kg,1530 kg,1580 kg,1900 kg,1665 kg,1720 kg,1645 kg,1787 kg,1450 kg,1550 kg,1618 kg,1975 kg,1840 kg,1670 kg,1785 kg,1787 kg,1690 kg,1540 kg,1645 kg,1598 kg,1550 kg,1715 kg,1670 kg,1780 kg,1570 kg,1920 kg,1450 kg,1635 kg,1787 kg,1650 kg,1780 kg,1685 kg,1845 kg,1725 kg,1785 kg,1590 kg,1805 kg,1570 kg,1780 kg,,1850 kg,1765 kg,1980 kg,1751 kg,1920 kg,1985 kg,2199 kg,2322 kg,1995 kg,2285 kg,2285 kg,2285 kg,1722 kg,1747 kg,1854 kg,1921 kg,1891 kg,
Capacidad del Baúl (litros),100 L,100 L,81 L,180 L,123 L,,104 L,105 L,123 L,,237 L,237 L,250 L,100 L,300 L,121 L,309 L,395 L,230 L,147 L,210 L,309 L,290 L,375 L,230 L,250 L,482 L,340 L,295 L,375 L,459 L,309 L,228 L,415 L,336 L,308 L,228 L,228 L,527 L,428 L,405 L,228 L,362 L,459 L,250 L,250 L,500 L,340 L,415 L,430 L,300 L,450 L,362 L,453 L,370 L,250 L,265 L,360 L,500 L,427 L,228 L,380 L,370 L,520 L,411 L,453 L,350 L,265 L,461 L,228 L,430 L,448 L,427 L,480 L,363 L,370 L,540 L,532 L,340 L,430 L,453 L,380 L,415 L,512 L,448 L,273 L,385 L,386 L,461 L,435 L,363 L,560 L,520 L,470 L,441 L,520 L,578 L,578 L,578 L,594 L,594 L,594 L,822 L,822 L,
CARACTERÍSTICAS EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
